,pol_filtered,pol
265,9665.328,4518.855
266,5259.598,3543.045
267,5169.276,5466.713
268,2923.153,2036.196
269,2640.337,2388.541
270,12064.28,5795.124
271,2129.123,7304.847
272,6300.184,12668.37
273,4087.589,3958.518
274,33867.26,4312.704
275,1944.318,5791.897
276,6081.236,4198.731
277,4484.007,939.8089
278,6149.738,6523.051
279,3312.979,7615.37
280,7861.111,5551.185
281,7559.427,9267.319
282,5904.734,2843.251
283,3090.807,7316.682
284,4542.296,22331.83
285,6954.334,9055.198
286,3642.567,11891.62
287,7299.392,6579.292
288,3510.356,2489.529
289,4871.941,3581.105
290,4262.659,3385.189
291,5776.641,3480.946
292,3252.018,1990.329
293,4972.961,4947.643
294,4619.934,3270.604
295,3549.054,3232.218
296,5338.512,4742.194
297,6284.879,4350.562
298,5687.82,1976.931
299,5474.979,13272.3
300,5322.48,5641.364
301,3394.271,1874.553
302,3026.583,8054.474
303,3666.016,15817.5
304,1927.111,7733.971
305,1499.43,5942.85
306,3859.16,8422.556
307,1638.338,5438.936
308,3747.789,2588.103
309,4665.403,7175.426
310,2644.164,13356.75
311,4555.568,4198.251
312,4506.688,3623.821
313,3863.911,10349.29
314,18803.66,4897.156
315,4498.745,6341.067
316,4735.29,10636.68
317,4763.483,12585.58
318,3700.738,4502.817
319,3376.839,11550.97
320,12875.62,1871.003
321,4370.812,9790.412
322,5163.589,22852.06
323,7270.089,15517.41
324,13146.76,3243.881
325,11247.49,2841.592
326,4730.259,5879.466
327,6040.501,4400.93
328,5819.79,2758.875
329,2449.126,3581.775
330,3384.919,4734.375
331,3440.292,8629.344
332,2532.814,3674.682
333,4796.414,4507.317
334,3297.131,12107.97
335,4586.767,5221.302
336,2839.518,4453.824
337,3675.582,13122.06
338,12585.58,4602.279
339,2134.867,3273.172
340,3701.72,4017.626
341,3760.452,8384.348
342,3805.186,7412.122
343,1907.484,5780.1
344,16893.39,6626.006
345,7169.63,3958.158
346,1507.957,3165.252
347,5073.199,3945.282
348,6441.355,2739.175
349,5174.782,5223.223
350,1516.279,2657.273
351,6882.333,4329.205
352,3524.328,4057.714
353,2976.359,5410.416
354,5797.112,8786.817
355,4593.172,2541.799
356,8252.359,5472.408
357,6293.246,6411.929
358,16461.41,6931.031
359,5978.989,7502.536
360,3452.817,4126.628
361,3356.129,5375.057
362,5368.548,7096.86
363,5404.019,1503.52
364,5583.109,2575.095
365,5812.518,24439.63
366,5731.53,6315.215
367,4996.614,2791.705
368,3397.695,6173.834
369,6508.312,3579.106
370,3902.508,1856.156
371,1863.482,6876.648
372,5695.106,4185.628
373,4583.427,14784.53
374,4805.409,3158.577
375,3007.707,4786.088
376,6317.776,8488.789
377,3110.174,6282.864
378,5825.176,3830.932
379,8682.51,6844.469
380,7129.375,5565.794
381,3248.708,6961.27
382,4135.315,6004.486
383,895.5958,2880.46
384,12585.58,3634.27
385,4833.251,5825.883
386,6361.129,5810.406
387,2441.767,5971.498
388,9501.631,7761.764
389,2690.951,4335.638
390,3767.607,2997.379
391,3880.47,2802.583
392,2701.91,5111.273
393,2186.43,3050.542
394,1240.526,9864.736
395,3186.866,5532.117
396,1273.622,5290.781
397,4405.438,7814.32
398,5724.895,2235.165
399,3692.241,1546.67
400,3745.512,5555.124
401,3271.717,5111.096
402,7912.709,10416.09
403,2784.444,2143.726
404,3247.807,5805.661
405,4250.373,4262.659
406,7852.849,11378.0
407,7140.824,5734.441
408,5232.707,4322.176
409,11161.34,5827.462
410,3701.952,3067.171
411,5368.212,3183.461
412,3979.586,2614.452
413,16834.02,12585.58
414,6799.243,6544.091
415,8198.106,6054.491
416,6857.92,4062.641
417,2687.023,3571.965
418,3028.217,3284.566
419,4546.929,5150.849
420,5063.913,3105.382
421,3789.149,5626.006
422,8075.548,8136.218
423,4287.153,4574.837
424,37566.02,2724.874
425,23041.3,2912.852
426,3408.051,4230.651
427,9072.835,4998.302
428,2431.783,3671.069
429,2688.604,4153.833
430,5347.712,5937.196
431,2070.656,28361.36
432,5395.561,3416.548
433,7661.29,4986.791
434,6419.43,5288.71
435,2133.796,1202.598
436,4649.967,3687.705
437,28719.19,5567.617
438,2143.803,4409.088
439,3589.406,9992.456
440,3199.058,3697.948
441,13884.45,20899.81
442,4405.135,6563.909
443,5702.909,3051.623
444,3462.623,5280.1
445,4372.891,8331.208
446,3401.132,44318.56
447,1613.569,4564.755
448,2231.578,7191.274
449,3219.412,4342.584
450,3502.265,12061.46
451,6330.052,7273.703
452,2322.853,4630.163
453,6357.756,3934.039
454,2330.358,5675.157
455,2363.892,2833.999
456,5961.131,3086.735
457,2439.167,11900.97
458,5163.564,4509.022
459,6667.37,2828.818
460,4362.901,8529.11
461,6842.334,7953.416
462,12585.58,5034.354
463,4368.918,7925.735
464,6562.46,4700.301
465,40306.0,5500.234
466,6240.624,5615.713
467,4182.603,5457.093
468,5849.186,4898.181
469,3982.873,12585.58
470,2769.46,3433.755
471,4839.037,3343.577
472,4493.547,2908.198
473,3415.714,12585.58
474,3269.468,5124.562
475,7640.196,7614.618
476,8780.298,7739.767
477,37984.34,4320.837
478,2095.092,4654.754
479,2811.905,9071.937
480,6227.641,7885.537
481,2988.749,7511.855
482,4155.886,5054.17
483,3102.242,1526.214
484,4982.46,4517.254
485,3129.339,2034.094
486,1195.822,7465.413
487,2732.387,26233.11
488,1267.897,6463.031
489,5902.98,2314.076
490,2256.111,8828.611
491,5312.215,4527.696
492,6732.148,2523.931
493,4440.379,4249.698
494,3792.141,5291.951
495,12585.58,5852.668
496,4344.39,4184.583
497,4602.964,8828.611
498,4952.514,20937.18
499,2810.6,10825.59
500,2905.155,3765.594
501,6850.992,7798.06
502,3183.153,3632.198
503,2671.454,3794.454
